RA,DEC,Instrumental_R,InstrumentalR_err,Known_R,KnownR_err
103.02062225000002,-0.30508333,-16.303426864153142,0.00044921713799173996,9.528,0.001
103.01408386,-0.45511112,-16.0638303566122,0.0004771992663225074,9.412,0.001
103.00787354000002,-0.456,-15.848169799392602,0.0005002993933555456,10.427,0.001
102.89054108,-0.19208333,-15.868527571604945,0.0005022295095198723,10.226,
103.15512848,-0.32233334,-15.621170371024506,0.0005279261414841986,10.543,0.004
103.04795837000002,-0.32122222,-15.19194274574318,0.0005673457499930997,11.203,0.001
103.15296173,-0.24211112,-15.31254020500203,0.0005581530179163537,11.566,0.003
103.0769577,-0.33875,-15.202746031963459,0.0005677331396764187,11.664,0.004
103.11645508,-0.22863889,-15.162005127151408,0.0005724288472125722,11.92,0.004
102.87779236,-0.31630555,-15.192219558157776,0.0005700673612190765,11.88,0.003
103.16696167,-0.28741667,-15.084535421313316,0.000578019115259075,11.54,0.004
103.01887512,-0.32730556,-15.501646279221347,0.0005387836477053116,12.191,0.003
102.95658112,-0.35436112,-14.826782400185301,0.0005968728458577131,11.469,0.006
103.04141998,-0.39222223,-14.788578354693174,0.0006005139129881688,12.641,0.005
103.07862854,-0.39244443,-14.790494670314853,0.0005989531350100038,12.596,0.005
102.86245728,-0.26002777,-14.579903779004832,0.0006156746405529695,12.388,0.003
103.0572052,-0.32227778,-14.561669497342738,0.000613615136592052,12.385,0.004
103.04929352000002,-0.30702779,-14.407560167343185,0.0006208949930348015,12.81,0.005
103.05558014,-0.32788888,-14.368529643209321,0.0006244240724970264,12.316,0.003
103.06874847,-0.32805556,-14.136204160545216,0.0006376835389183916,13.383,0.004
103.15853882,-0.27594444,-14.160741707552768,0.0006367118908195131,13.534,0.005
102.96583557,-0.33777779,-14.250723751511746,0.0006325913181868928,13.394,0.014
102.86791992,-0.27372223,-13.938105429537572,0.0006472329777063427,13.718,0.004
103.14537811,-0.25716668,-13.904044651410874,0.0006485744670108515,13.532,0.009
102.87308502,-0.41411111,-14.221497160426273,0.0006344409471491521,13.941,0.008
103.15650177000002,-0.28436112,-13.85647053918656,0.0006492747254035961,13.714,0.005
102.88141632,-0.44044444,-13.728269308231972,0.0006551298923935917,13.868,0.007
103.08791351,-0.264,-13.46272394130959,0.0006621071141844301,13.511,0.005
102.91625214,-0.42830557,-13.267731993080645,0.0006678170143995975,14.438,0.031
102.96387482,-0.40591668,-2.9508896295480853,0.0006940068709260767,14.777,0.032
103.00450134,-0.40102778,-10.385566280305675,0.0006916329788596108,14.756,0.029
103.04929352000002,-0.38980556,-9.513432145376436,0.0006924218415053404,13.537,0.007
103.08333588,-0.37566668,-11.84832971594924,0.0006860371914042014,13.533,0.01
102.94579315,-0.39627779,-8.488631670898265,0.0006950087146708149,14.669,0.049
103.08108139,-0.3925,-14.794687507130181,0.0005993544561004612,14.228,0.013
103.02979459,-0.40591668,-13.51049981241935,0.0006601709183179192,14.208,0.041
103.06874847,-0.42447222,-11.178849441422143,0.0006903018819972267,14.95,0.107
103.02716827,-0.42625,-11.062762129134555,0.0006903274186420479,14.611,0.015
103.02716827,-0.42625,-11.062762129134555,0.0006903274186420479,14.611,0.015
103.00450134,-0.44888888,-13.244862022637026,0.0006625874482047612,14.887,0.015
103.09837723,-0.36330554,-11.132246862020734,0.000688404901954426,14.728,0.017
103.11837288,-0.35263889,-9.415641936856192,0.000692501827392447,15.021,0.03
103.11837288,-0.35263889,-9.415641936856192,0.000692501827392447,15.021,0.03
103.08108139,-0.37830555,-11.608118274016828,0.0006875062518165177,15.409,0.071
103.08108139,-0.37830555,-11.608118274016828,0.0006875062518165177,15.409,0.071
103.05958048,-0.38805556,-8.738981316901162,0.0006934170192603628,15.784,0.094
103.05958048,-0.38805556,-8.738981316901162,0.0006934170192603628,15.784,0.094
103.07275415,-0.38175,-9.089471116112144,0.0006930018569522408,16.028,0.183
103.07275415,-0.38175,-9.089471116112144,0.0006930018569522408,16.028,0.183
103.05841829,-0.38566668,-10.449899275247102,0.000691673232754835,16.253,0.257
103.05841829,-0.38566668,-10.449899275247102,0.000691673232754835,16.253,0.257
103.04691466,-0.39022223,-10.240305774222197,0.0006915061120429879,16.525,0.328
103.04691466,-0.39022223,-10.240305774222197,0.0006915061120429879,16.525,0.328
103.03838348,-0.3955,-12.706640294090901,0.0006771362404318021,16.772,0.41
103.03838348,-0.3955,-12.706640294090901,0.0006771362404318021,16.772,0.41
103.03076172,-0.40036112,-10.792802034379713,0.0006909754515910573,17.033,0.494
103.03076172,-0.40036112,-10.792802034379713,0.0006909754515910573,17.033,0.494
