RA,DEC,Instrumental_R,InstrumentalR_err,Known_R,KnownR_err
103.02062225000002,-0.30508333,-16.502162111343676,0.00043336017344287875,9.528,0.001
103.01408386,-0.45511112,-16.26402581490578,0.00046393005571951135,9.412,0.001
103.00787354000002,-0.456,-16.06855602056641,0.00048816968047380886,10.427,0.001
102.89054108,-0.19208333,-16.056334746841237,0.0004923113828233671,10.226,
103.15512848,-0.32233334,-15.81992579699272,0.0005200361163420534,10.543,0.004
103.04795837000002,-0.32122222,-15.378514906827181,0.0005684792736819203,11.203,0.001
103.15296173,-0.24211112,-15.501298278089898,0.000556770783009225,11.566,0.003
103.0769577,-0.33875,-15.384084321464076,0.0005688912374025804,11.664,0.004
103.11645508,-0.22863889,-15.328673042506246,0.0005752609137286791,11.92,0.004
102.87779236,-0.31630555,-15.327287977823133,0.0005760400819698053,11.88,0.003
103.16696167,-0.28741667,-15.251525058572108,0.0005822248277974278,11.54,0.004
103.01887512,-0.32730556,-15.643757034519112,0.0005400034271311659,12.191,0.003
102.95658112,-0.35436112,-14.959606108234677,0.0006091850169215062,11.469,0.006
103.04141998,-0.39222223,-14.93714510932911,0.0006114658852032498,12.641,0.005
103.07862854,-0.39244443,-14.937640114902669,0.000609629718289719,12.596,0.005
102.86245728,-0.26002777,-14.691279354882019,0.0006324245533995555,12.388,0.003
103.0572052,-0.32227778,-14.710874973677043,0.0006281601227020824,12.385,0.004
103.04929352000002,-0.30702779,-14.501708338691808,0.0006401600405298492,12.81,0.005
103.05558014,-0.32788888,-14.436261538658353,0.0006462929683171834,12.316,0.003
103.06874847,-0.32805556,-14.173375890735135,0.0006625125205719824,13.383,0.004
103.15853882,-0.27594444,-14.2039348939036,0.0006616260000735154,13.534,0.005
102.96583557,-0.33777779,-14.273622714616291,0.0006580685538720002,13.394,0.014
102.86791992,-0.27372223,-14.006782750739902,0.0006738921749302706,13.718,0.004
103.14537811,-0.25716668,-13.91460969631401,0.0006764036363269,13.532,0.009
102.87308502,-0.41411111,-14.212625008716497,0.0006624029096200518,13.941,0.008
103.15650177000002,-0.28436112,-13.86246954233519,0.0006771360603542364,13.714,0.005
102.88141632,-0.44044444,-13.727179933520864,0.0006854071583924506,13.868,0.007
103.08791351,-0.264,-13.522323193727669,0.0006919637685742824,13.511,0.005
102.91625214,-0.42830557,-13.289366895289172,0.0006999912192517582,14.438,0.031
102.96387482,-0.40591668,,0.0007322088000514552,14.777,0.032
103.00450134,-0.40102778,-10.997070822259222,0.0007270345789781693,14.756,0.029
103.04929352000002,-0.38980556,-8.910827076905623,0.0007280395612739055,13.537,0.007
103.08333588,-0.37566668,-11.831285014868111,0.0007211508191780144,13.533,0.01
102.94579315,-0.39627779,,0.0007329423564647525,14.669,0.049
103.08108139,-0.3925,-14.935792479519908,0.0006110121859047805,14.228,0.013
103.02979459,-0.40591668,-13.497765878411617,0.0006920434896262161,14.208,0.041
103.06874847,-0.42447222,-11.212886796087908,0.0007266936959936008,14.95,0.107
103.02716827,-0.42625,-10.659018384593796,0.0007275135768891914,14.611,0.015
103.02716827,-0.42625,-10.659018384593796,0.0007275135768891914,14.611,0.015
103.00450134,-0.44888888,-13.257738770875438,0.0006943124473792192,14.887,0.015
103.09837723,-0.36330554,-10.949573853017494,0.0007238862731477537,14.728,0.017
103.11837288,-0.35263889,-9.958602675430875,0.0007285373128155312,15.021,0.03
103.11837288,-0.35263889,-9.958602675430875,0.0007285373128155312,15.021,0.03
103.08108139,-0.37830555,-11.570058750265694,0.0007232964502460164,15.409,0.071
103.08108139,-0.37830555,-11.570058750265694,0.0007232964502460164,15.409,0.071
103.05958048,-0.38805556,-9.457716547842217,0.0007301196000091439,15.784,0.094
103.05958048,-0.38805556,-9.457716547842217,0.0007301196000091439,15.784,0.094
103.07275415,-0.38175,-9.498250360169017,0.000728810960745712,16.028,0.183
103.07275415,-0.38175,-9.498250360169017,0.000728810960745712,16.028,0.183
103.05841829,-0.38566668,-10.156926433789607,0.0007274233954380688,16.253,0.257
103.05841829,-0.38566668,-10.156926433789607,0.0007274233954380688,16.253,0.257
103.04691466,-0.39022223,-10.658620018599148,0.0007267265639079289,16.525,0.328
103.04691466,-0.39022223,-10.658620018599148,0.0007267265639079289,16.525,0.328
103.03838348,-0.3955,-13.045960272176199,0.0007039424533080298,16.772,0.41
103.03838348,-0.3955,-13.045960272176199,0.0007039424533080298,16.772,0.41
103.03076172,-0.40036112,-10.659971460894281,0.0007268551591551567,17.033,0.494
103.03076172,-0.40036112,-10.659971460894281,0.0007268551591551567,17.033,0.494
