RA,DEC,Instrumental_R,InstrumentalR_err,Known_R,KnownR_err
103.02062225000002,-0.30508333,-16.30282785642541,0.0004493448399894518,9.528,0.001
103.01408386,-0.45511112,-16.06399295607104,0.00047719675221996307,9.412,0.001
103.00787354000002,-0.456,-15.848394463186342,0.0005005150895096897,10.427,0.001
102.89054108,-0.19208333,-15.866405606509304,0.0005026232877229895,10.226,
103.15512848,-0.32233334,-15.62050656112701,0.0005280315365343151,10.543,0.004
103.04795837000002,-0.32122222,-15.195455858302942,0.0005673426027908245,11.203,0.001
103.15296173,-0.24211112,-15.313868531328254,0.0005582819050555146,11.566,0.003
103.0769577,-0.33875,-15.200137993353444,0.0005678188183818295,11.664,0.004
103.11645508,-0.22863889,-15.16158145992144,0.0005723998006168582,11.92,0.004
102.87779236,-0.31630555,-15.190305401878568,0.0005702139103310054,11.88,0.003
103.16696167,-0.28741667,-15.080565108448747,0.0005784861628970365,11.54,0.004
103.01887512,-0.32730556,-15.500602680146793,0.0005389729160389499,12.191,0.003
102.95658112,-0.35436112,-14.832130406869561,0.0005970944924806626,11.469,0.006
103.04141998,-0.39222223,-14.784162397646236,0.0006005978957055339,12.641,0.005
103.07862854,-0.39244443,-14.788363229978218,0.0005992104617112389,12.596,0.005
102.86245728,-0.26002777,-14.577743736247688,0.000615835643026514,12.388,0.003
103.0572052,-0.32227778,-14.563681696672809,0.0006136825678268816,12.385,0.004
103.04929352000002,-0.30702779,-14.396571168988084,0.0006210049894170398,12.81,0.005
103.05558014,-0.32788888,-14.369199785328888,0.0006242196484018094,12.316,0.003
103.06874847,-0.32805556,-14.134244740982549,0.000637746961102958,13.383,0.004
103.15853882,-0.27594444,-14.158943163820936,0.0006371762758662911,13.534,0.005
102.96583557,-0.33777779,-14.255898098424044,0.0006328616361762998,13.394,0.014
102.86791992,-0.27372223,-13.95533175938063,0.0006469033880269034,13.718,0.004
103.14537811,-0.25716668,-13.907213325468204,0.00064841089833854,13.532,0.009
102.87308502,-0.41411111,-14.226553838478441,0.000634259380905098,13.941,0.008
103.15650177000002,-0.28436112,-13.858934344724874,0.0006493799534435825,13.714,0.005
102.88141632,-0.44044444,-13.727401254619966,0.0006548955205450549,13.868,0.007
103.08791351,-0.264,-13.462027633028688,0.0006621772347813747,13.511,0.005
102.91625214,-0.42830557,-13.258039824574734,0.0006682318145673123,14.438,0.031
102.96387482,-0.40591668,-7.575582166854114,0.0006944222175098124,14.777,0.032
103.00450134,-0.40102778,-10.236431788913151,0.0006922128951612067,14.756,0.029
103.04929352000002,-0.38980556,-8.960529879670394,0.0006925075745534803,13.537,0.007
103.08333588,-0.37566668,-11.867185403966685,0.0006861589600766102,13.533,0.01
102.94579315,-0.39627779,-7.158879600325314,0.0006958269522353633,14.669,0.049
103.08108139,-0.3925,-14.796116087363467,0.0005996523992584243,14.228,0.013
103.02979459,-0.40591668,-13.495347555204816,0.000660044584152541,14.208,0.041
103.06874847,-0.42447222,-11.310852373120719,0.000690325865132799,14.95,0.107
103.02716827,-0.42625,-11.056706087265791,0.0006905278089908758,14.611,0.015
103.02716827,-0.42625,-11.056706087265791,0.0006905278089908758,14.611,0.015
103.00450134,-0.44888888,-13.221156569497122,0.000662889712456741,14.887,0.015
103.09837723,-0.36330554,-11.149445973076533,0.0006885680447522081,14.728,0.017
103.11837288,-0.35263889,-9.833285670719064,0.0006927854540856779,15.021,0.03
103.11837288,-0.35263889,-9.833285670719064,0.0006927854540856779,15.021,0.03
103.08108139,-0.37830555,-11.530994711942697,0.0006874274541823542,15.409,0.071
103.08108139,-0.37830555,-11.530994711942697,0.0006874274541823542,15.409,0.071
103.05958048,-0.38805556,-9.40667006722634,0.0006934546996538916,15.784,0.094
103.05958048,-0.38805556,-9.40667006722634,0.0006934546996538916,15.784,0.094
103.07275415,-0.38175,-9.258468120180346,0.0006926298430829114,16.028,0.183
103.07275415,-0.38175,-9.258468120180346,0.0006926298430829114,16.028,0.183
103.05841829,-0.38566668,-10.221421232161214,0.0006917754011462956,16.253,0.257
103.05841829,-0.38566668,-10.221421232161214,0.0006917754011462956,16.253,0.257
103.04691466,-0.39022223,-10.089144452109835,0.0006915456330397092,16.525,0.328
103.04691466,-0.39022223,-10.089144452109835,0.0006915456330397092,16.525,0.328
103.03838348,-0.3955,-12.686606994179803,0.0006772602413923977,16.772,0.41
103.03838348,-0.3955,-12.686606994179803,0.0006772602413923977,16.772,0.41
103.03076172,-0.40036112,-10.7183109054269,0.0006909244796861391,17.033,0.494
103.03076172,-0.40036112,-10.7183109054269,0.0006909244796861391,17.033,0.494
