RA,DEC,Instrumental_V,InstrumentalV_err,Known_V,KnownV_err
103.02062225000002,-0.30508333,-16.45597402445719,0.0004220237933304999,9.538,0.001
103.01408386,-0.45511112,-16.45724247318435,0.00042038917338917657,10.026,
103.00787354000002,-0.456,-16.04807074276244,0.0004648201399202094,10.537,0.001
102.89054108,-0.19208333,-16.141755064846368,0.00045883764878981427,10.574,
103.15512848,-0.32233334,-15.964905882025445,0.0004772727592956054,11.118,0.004
103.04795837000002,-0.32122222,-15.62299087580779,0.0005100988718366716,11.93,
103.15296173,-0.24211112,-15.580370164213111,0.0005166721691133772,11.878,0.002
103.0769577,-0.33875,-15.39983001860476,0.0005310299882439087,11.954,0.003
103.11645508,-0.22863889,-15.336214106601275,0.0005385331183785828,12.113,0.003
102.87779236,-0.31630555,-15.423033821214307,0.0005288704128645848,12.185,0.003
103.16696167,-0.28741667,-15.472902722472682,0.0005256421859352705,12.238,0.003
103.01887512,-0.32730556,-15.634462270524583,0.000509240906893333,12.271,0.002
102.95658112,-0.35436112,-15.517070151575352,0.0005204045393567171,12.723,0.005
103.04141998,-0.39222223,-14.87640851612154,0.0005708422159322484,12.732,0.003
103.07862854,-0.39244443,-14.960656396032219,0.0005641925476746442,12.754,0.003
102.86245728,-0.26002777,-15.033122450727262,0.0005607055923908816,13.089,0.002
103.0572052,-0.32227778,-14.98935876683241,0.000561616877572145,13.068,0.003
103.04929352000002,-0.30702779,-14.789013035657426,0.0005735616042190409,13.385,0.004
103.05558014,-0.32788888,-15.030347781131967,0.0005588393458128272,13.398,0.003
103.06874847,-0.32805556,-14.733227144702175,0.000579281395442488,13.749,0.004
103.15853882,-0.27594444,-14.306338433369794,0.0006035170600090887,13.707,0.004
102.96583557,-0.33777779,-14.618090171201583,0.000585710509941053,13.811,0.014
102.86791992,-0.27372223,-14.244832909833283,0.0006053475135955181,14.001,0.004
103.14537811,-0.25716668,-14.271006753798277,0.0006060346933113146,13.975,0.007
102.87308502,-0.41411111,-14.47776182462791,0.0005916975721523087,14.137,0.005
103.15650177000002,-0.28436112,-14.217302629944086,0.0006067471643880034,14.09,0.003
102.88141632,-0.44044444,-13.970910460845205,0.0006136954190998083,14.162,0.005
103.08791351,-0.264,-14.270569737308495,0.0006053644134196501,14.439,0.004
102.91625214,-0.42830557,-13.399741810677568,0.0006301010748344608,14.556,0.025
102.96387482,-0.40591668,,0.0006568313008393246,14.887,0.024
103.00450134,-0.40102778,-11.20350251596674,0.000653138193920336,14.882,0.022
103.04929352000002,-0.38980556,-10.181705969719626,0.0006553400317622391,14.277,0.007
103.08333588,-0.37566668,-12.23167691320536,0.0006489883199922221,14.578,0.009
102.94579315,-0.39627779,,0.0006575860766792214,14.84,0.038
103.08108139,-0.3925,-14.938008404289324,0.0005664383773771698,14.302,0.011
103.02979459,-0.40591668,-14.15179887922671,0.0006077505864268817,14.588,0.041
103.06874847,-0.42447222,-11.89527063274599,0.0006516456535358831,15.216,0.089
103.02716827,-0.42625,-11.290564862737087,0.0006529895718027181,14.668,0.013
103.02716827,-0.42625,-11.290564862737087,0.0006529895718027181,14.668,0.013
103.00450134,-0.44888888,-13.623808893534669,0.0006202420550477358,14.941,0.012
103.09837723,-0.36330554,-11.684579721005637,0.0006512214951683708,14.787,0.014
103.11837288,-0.35263889,-7.972455827926811,0.000657509020751726,15.095,0.025
103.11837288,-0.35263889,-7.972455827926811,0.000657509020751726,15.095,0.025
103.08108139,-0.37830555,-12.02907530199461,0.0006502519999841411,15.459,0.06
103.08108139,-0.37830555,-12.02907530199461,0.0006502519999841411,15.459,0.06
103.05958048,-0.38805556,-9.810839084061287,0.0006570512052570684,15.833,0.08
103.05958048,-0.38805556,-9.810839084061287,0.0006570512052570684,15.833,0.08
103.07275415,-0.38175,-9.647264507298893,0.0006563629798625677,16.077,0.154
103.07275415,-0.38175,-9.647264507298893,0.0006563629798625677,16.077,0.154
103.05841829,-0.38566668,-10.579125821606102,0.0006547006082574322,16.303,0.22
103.05841829,-0.38566668,-10.579125821606102,0.0006547006082574322,16.303,0.22
103.04691466,-0.39022223,-11.095453471609261,0.0006542011014220483,16.575,0.282
103.04691466,-0.39022223,-11.095453471609261,0.0006542011014220483,16.575,0.282
103.03838348,-0.3955,-13.027088594738903,0.0006390526207385443,16.828,0.35
103.03838348,-0.3955,-13.027088594738903,0.0006390526207385443,16.828,0.35
103.03076172,-0.40036112,-11.069421241885077,0.0006539466032063942,17.088,0.416
103.03076172,-0.40036112,-11.069421241885077,0.0006539466032063942,17.088,0.416
