RA,DEC,Instrumental_V,InstrumentalV_err,Known_V,KnownV_err
103.02062225000002,-0.30508333,-16.322045221296907,0.00044156511053090533,9.538,0.001
103.01408386,-0.45511112,-16.33221908469608,0.0004400002870675048,10.026,
103.00787354000002,-0.456,-15.914589161078982,0.00048596469025821845,10.537,0.001
102.89054108,-0.19208333,-16.007362616601412,0.00047895936118953015,10.574,
103.15512848,-0.32233334,-15.8573481109236,0.0004945847196908523,11.118,0.004
103.04795837000002,-0.32122222,-15.518618631351806,0.0005273239286826182,11.93,
103.15296173,-0.24211112,-15.476932741053277,0.0005328504414596208,11.878,0.002
103.0769577,-0.33875,-15.313728370694694,0.000547021436075684,11.954,0.003
103.11645508,-0.22863889,-15.230655760088858,0.0005554943066113251,12.113,0.003
102.87779236,-0.31630555,-15.330547535530592,0.0005468057417619346,12.185,0.003
103.16696167,-0.28741667,-15.379553478878705,0.0005417154257953362,12.238,0.003
103.01887512,-0.32730556,-15.561723827278186,0.0005240402013202448,12.271,0.002
102.95658112,-0.35436112,-15.4025992268533,0.0005401320951066048,12.723,0.005
103.04141998,-0.39222223,-14.837145871580411,0.000584649323710636,12.732,0.003
103.07862854,-0.39244443,-14.902285071889423,0.000578701801261697,12.754,0.003
102.86245728,-0.26002777,-14.914997866716798,0.000579885811029804,13.089,0.002
103.0572052,-0.32227778,-14.92960441341599,0.0005758225427300875,13.068,0.003
103.04929352000002,-0.30702779,-14.728580227721405,0.0005884542655756501,13.385,0.004
103.05558014,-0.32788888,-14.955952033248307,0.0005739873914740863,13.398,0.003
103.06874847,-0.32805556,-14.688799932461542,0.0005929664721048959,13.749,0.004
103.15853882,-0.27594444,-14.276473988407844,0.000616734210521309,13.707,0.004
102.96583557,-0.33777779,-14.56769265351831,0.0006013723824554432,13.811,0.014
102.86791992,-0.27372223,-14.2356794079694,0.0006192318161434926,14.001,0.004
103.14537811,-0.25716668,-14.240237501265087,0.0006183281639699508,13.975,0.007
102.87308502,-0.41411111,-14.501867061034229,0.0006051624066339773,14.137,0.005
103.15650177000002,-0.28436112,-14.195178065081713,0.0006194400340369704,14.09,0.003
102.88141632,-0.44044444,-13.940179077165425,0.0006314445848457568,14.162,0.005
103.08791351,-0.264,-14.250462682740947,0.0006185189887141669,14.439,0.004
102.91625214,-0.42830557,-13.414650864026939,0.0006478122238585529,14.556,0.025
102.96387482,-0.40591668,,0.0006755842923567291,14.887,0.024
103.00450134,-0.40102778,-11.141333027930518,0.0006716585280421441,14.882,0.022
103.04929352000002,-0.38980556,-10.450621640508778,0.0006721905176201669,14.277,0.007
103.08333588,-0.37566668,-12.138160622288922,0.0006651602435302804,14.578,0.009
102.94579315,-0.39627779,-8.546690521756135,0.0006762433198162837,14.84,0.038
103.08108139,-0.3925,-14.897313229967002,0.0005802274805104378,14.302,0.011
103.02979459,-0.40591668,-14.160865916134034,0.0006219202255864696,14.588,0.041
103.06874847,-0.42447222,-11.889090287430967,0.0006687164746363457,15.216,0.089
103.02716827,-0.42625,-11.005899617128259,0.0006722473695941094,14.668,0.013
103.02716827,-0.42625,-11.005899617128259,0.0006722473695941094,14.668,0.013
103.00450134,-0.44888888,-13.632191250459936,0.0006359001171023233,14.941,0.012
103.09837723,-0.36330554,-11.587850495440374,0.0006670713880559282,14.787,0.014
103.11837288,-0.35263889,-8.165984279755165,0.0006729336806715114,15.095,0.025
103.11837288,-0.35263889,-8.165984279755165,0.0006729336806715114,15.095,0.025
103.08108139,-0.37830555,-11.923167551403882,0.000666839229087224,15.459,0.06
103.08108139,-0.37830555,-11.923167551403882,0.000666839229087224,15.459,0.06
103.05958048,-0.38805556,-9.886554088163397,0.0006743257134673933,15.833,0.08
103.05958048,-0.38805556,-9.886554088163397,0.0006743257134673933,15.833,0.08
103.07275415,-0.38175,-9.132196022975883,0.0006739103590393053,16.077,0.154
103.07275415,-0.38175,-9.132196022975883,0.0006739103590393053,16.077,0.154
103.05841829,-0.38566668,-11.17314098471764,0.0006712151058382584,16.303,0.22
103.05841829,-0.38566668,-11.17314098471764,0.0006712151058382584,16.303,0.22
103.04691466,-0.39022223,-11.319648967455507,0.0006699316115285414,16.575,0.282
103.04691466,-0.39022223,-11.319648967455507,0.0006699316115285414,16.575,0.282
103.03838348,-0.3955,-12.759159095217086,0.0006592593639080748,16.828,0.35
103.03838348,-0.3955,-12.759159095217086,0.0006592593639080748,16.828,0.35
103.03076172,-0.40036112,-11.325629216999463,0.0006709896285149433,17.088,0.416
103.03076172,-0.40036112,-11.325629216999463,0.0006709896285149433,17.088,0.416
