RA,DEC,Instrumental_V,InstrumentalV_err,Known_V,KnownV_err
103.02062225000002,-0.30508333,-16.303929382612644,0.00043627777451917194,9.538,0.001
103.01408386,-0.45511112,-16.31271717387627,0.000434221000351944,10.026,
103.00787354000002,-0.456,-15.903534670656763,0.00047626449315799996,10.537,0.001
102.89054108,-0.19208333,-16.00059909483778,0.00047053161389958394,10.574,
103.15512848,-0.32233334,-15.841793430477464,0.000485825388530424,11.118,0.004
103.04795837000002,-0.32122222,-15.507847447851216,0.0005160381980936941,11.93,
103.15296173,-0.24211112,-15.46684771061887,0.0005219132917667533,11.878,0.002
103.0769577,-0.33875,-15.289065066854285,0.0005353211459689502,11.954,0.003
103.11645508,-0.22863889,-15.213611941949246,0.0005429253078438598,12.113,0.003
102.87779236,-0.31630555,-15.310418968218693,0.0005349578943753453,12.185,0.003
103.16696167,-0.28741667,-15.369313504228305,0.0005294710865397884,12.238,0.003
103.01887512,-0.32730556,-15.543212119800964,0.0005133640214770577,12.271,0.002
102.95658112,-0.35436112,-15.410615924740886,0.0005261991378180923,12.723,0.005
103.04141998,-0.39222223,-14.78910552295508,0.0005700064306304915,12.732,0.003
103.07862854,-0.39244443,-14.844845235384216,0.0005656062140620912,12.754,0.003
102.86245728,-0.26002777,-14.90483186818597,0.0005644362174425341,13.089,0.002
103.0572052,-0.32227778,-14.901359237167478,0.0005618506996999688,13.068,0.003
103.04929352000002,-0.30702779,-14.699678076520042,0.0005727887995021788,13.385,0.004
103.05558014,-0.32788888,-14.936425393216856,0.000559573305720165,13.398,0.003
103.06874847,-0.32805556,-14.689976666223554,0.0005757786467901458,13.749,0.004
103.15853882,-0.27594444,-14.24895325364275,0.0005988148700610924,13.707,0.004
102.96583557,-0.33777779,-14.571514009736852,0.000582804208270858,13.811,0.014
102.86791992,-0.27372223,-14.198506610045303,0.0006009546509384259,14.001,0.004
103.14537811,-0.25716668,-14.236640005124986,0.0005995918718093583,13.975,0.007
102.87308502,-0.41411111,-14.483916546439474,0.0005871665670813052,14.137,0.005
103.15650177000002,-0.28436112,-14.151737324676892,0.0006015769417478746,14.09,0.003
102.88141632,-0.44044444,-13.914563784430909,0.0006099397688385727,14.162,0.005
103.08791351,-0.264,-14.237142290113304,0.0005992252438631667,14.439,0.004
102.91625214,-0.42830557,-13.393253291738457,0.0006250801005408075,14.556,0.025
102.96387482,-0.40591668,-7.289499708653735,0.0006497392538240984,14.887,0.024
103.00450134,-0.40102778,-11.2413868049202,0.000646181019254662,14.882,0.022
103.04929352000002,-0.38980556,-9.971801001063342,0.0006468371946041069,14.277,0.007
103.08333588,-0.37566668,-12.166278131158851,0.0006402287954136882,14.578,0.009
102.94579315,-0.39627779,,0.0006504825668771847,14.84,0.038
103.08108139,-0.3925,-14.851117194472508,0.0005666437780193707,14.302,0.011
103.02979459,-0.40591668,-14.129656611739714,0.0006019383491269587,14.588,0.041
103.06874847,-0.42447222,-11.832249769115833,0.000643132823607262,15.216,0.089
103.02716827,-0.42625,-11.401305699605924,0.0006452636008726434,14.668,0.013
103.02716827,-0.42625,-11.401305699605924,0.0006452636008726434,14.668,0.013
103.00450134,-0.44888888,-13.630352309682703,0.0006147713932367267,14.941,0.012
103.09837723,-0.36330554,-11.557411003751854,0.0006424420125106879,14.787,0.014
103.11837288,-0.35263889,-9.783385205373785,0.0006475200409371625,15.095,0.025
103.11837288,-0.35263889,-9.783385205373785,0.0006475200409371625,15.095,0.025
103.08108139,-0.37830555,-11.96630512820713,0.0006413474233226311,15.459,0.06
103.08108139,-0.37830555,-11.96630512820713,0.0006413474233226311,15.459,0.06
103.05958048,-0.38805556,-8.876813901819814,0.0006484415457888315,15.833,0.08
103.05958048,-0.38805556,-8.876813901819814,0.0006484415457888315,15.833,0.08
103.07275415,-0.38175,-10.053930028885604,0.0006475819120940201,16.077,0.154
103.07275415,-0.38175,-10.053930028885604,0.0006475819120940201,16.077,0.154
103.05841829,-0.38566668,-10.98283564509492,0.0006459209278997082,16.303,0.22
103.05841829,-0.38566668,-10.98283564509492,0.0006459209278997082,16.303,0.22
103.04691466,-0.39022223,-11.330261339179641,0.000644773065256809,16.575,0.282
103.04691466,-0.39022223,-11.330261339179641,0.000644773065256809,16.575,0.282
103.03838348,-0.3955,-12.766371614873194,0.0006345367530632085,16.828,0.35
103.03838348,-0.3955,-12.766371614873194,0.0006345367530632085,16.828,0.35
103.03076172,-0.40036112,-11.223844724197358,0.0006455349718950991,17.088,0.416
103.03076172,-0.40036112,-11.223844724197358,0.0006455349718950991,17.088,0.416
