Observation	Extinction Coefficient	Error	Airmass (Average)	Airmass Error
1	0.06269255	0.03591706	1.61628838	0.00898129
2	0.14990428	0.06947947	1.85775081	0.01182749
3	0.05791125	0.0563669	2.07420124	0.00809268
4	0.15598649	0.07580839	2.37559885	0.01615326
