RA,DEC,Instrumental_I,InstrumentalI_err,Known_I,KnownI_err
103.02062225000002,-0.30508333,-15.800409237537874,0.0005779603638311267,9.519,0.001
103.01408386,-0.45511112,-16.046074928847187,0.0005385046843233464,8.876,0.001
103.00787354000002,-0.456,-15.386009058070885,0.0006422734419264501,10.305,0.001
102.89054108,-0.19208333,-15.617810359633351,0.0006068866083000495,9.905,0.001
103.15512848,-0.32233334,-15.538206728581223,0.0006194811258374857,10.016,0.005
103.04795837000002,-0.32122222,-15.233457101939866,0.0006637878784020252,10.549,0.001
103.15296173,-0.24211112,-14.96502668565902,0.0007029196338971196,11.267,0.005
103.0769577,-0.33875,-14.793105851670598,0.0007251098909002312,11.384,0.004
103.11645508,-0.22863889,-14.64109379112999,0.0007442747080883888,11.725,0.006
102.87779236,-0.31630555,-14.791041780250103,0.0007262152785035411,11.577,0.003
103.16696167,-0.28741667,-15.088780421655766,0.0006858331902192185,10.89,0.005
103.01887512,-0.32730556,-14.949003882048395,0.0007047067494426912,12.105,0.003
102.95658112,-0.35436112,-15.37182053190331,0.000645977303108588,10.318,0.007
103.04141998,-0.39222223,-14.011715525290047,0.0008100440903557842,12.533,0.006
103.07862854,-0.39244443,-14.199536525546419,0.0007913928983535123,12.416,0.007
102.86245728,-0.26002777,-14.60641614800991,0.0007468501003763928,11.726,0.003
103.0572052,-0.32227778,-14.618839356382708,0.0007440490895736863,11.712,0.022
103.04929352000002,-0.30702779,-14.218552835349652,0.000783559383939767,12.316,0.006
103.05558014,-0.32788888,-14.821120222142065,0.0007192728666318019,11.314,0.004
103.06874847,-0.32805556,-14.955680409465316,0.0007029247859582979,13.031,0.005
103.15853882,-0.27594444,-13.29978142984676,0.0008527109527528946,13.333,0.007
102.96583557,-0.33777779,-13.862277516875555,0.0008185729756035855,12.99,0.025
102.86791992,-0.27372223,-13.345597568461308,0.0008499864626062101,13.387,0.019
103.14537811,-0.25716668,-13.467537673040734,0.000844058270586589,13.101,0.009
102.87308502,-0.41411111,-13.592011107461147,0.0008410644953394788,13.698,0.009
103.15650177000002,-0.28436112,-13.40091756673097,0.0008447905944580404,13.272,0.006
102.88141632,-0.44044444,-13.049539254100743,0.000872313002024449,13.551,0.01
103.08791351,-0.264,-13.935306747346427,0.0008123517409116243,12.629,0.007
102.91625214,-0.42830557,-12.342586351349063,0.000894726369069395,14.329,0.045
102.96387482,-0.40591668,,0.000921219906910386,14.662,0.044
103.00450134,-0.40102778,-10.42496817002826,0.0009150219790789116,14.623,0.041
103.04929352000002,-0.38980556,-10.215502394641469,0.0009138268909696575,12.8,0.007
103.08333588,-0.37566668,-11.284303698971614,0.0009066492838222384,12.518,0.012
102.94579315,-0.39627779,-8.565664431770667,0.0009208696465767611,14.493,0.067
103.08108139,-0.3925,-14.183884892027072,0.0007945089992389178,14.121,0.018
103.02979459,-0.40591668,-13.731233607935753,0.0008316561875002859,13.849,0.046
103.06874847,-0.42447222,-11.351304317258426,0.0009113918973455194,14.687,0.127
103.02716827,-0.42625,-10.738373632292252,0.0009164189994411579,14.529,0.02
103.02716827,-0.42625,-10.738373632292252,0.0009164189994411579,14.529,0.02
103.00450134,-0.44888888,-12.677734661803711,0.0008767694496933854,14.815,0.021
103.09837723,-0.36330554,-10.836952336160444,0.0009060606177832718,14.647,0.022
103.11837288,-0.35263889,-8.747973073270481,0.0009131767233771209,14.938,0.035
103.11837288,-0.35263889,-8.747973073270481,0.0009131767233771209,14.938,0.035
103.08108139,-0.37830555,-11.136312097921962,0.0009080186315710523,15.35,0.08
103.08108139,-0.37830555,-11.136312097921962,0.0009080186315710523,15.35,0.08
103.05958048,-0.38805556,-9.334316507146234,0.0009176768597733418,15.727,0.106
103.05958048,-0.38805556,-9.334316507146234,0.0009176768597733418,15.727,0.106
103.07275415,-0.38175,-8.803340884848962,0.0009163807044359248,15.968,0.205
103.07275415,-0.38175,-8.803340884848962,0.0009163807044359248,15.968,0.205
103.05841829,-0.38566668,-10.58277155320597,0.0009125841812669676,16.191,0.286
103.05841829,-0.38566668,-10.58277155320597,0.0009125841812669676,16.191,0.286
103.04691466,-0.39022223,-10.158259424237963,0.0009137001952142843,16.46,0.36
103.04691466,-0.39022223,-10.158259424237963,0.0009137001952142843,16.46,0.36
103.03838348,-0.3955,-11.688504521056428,0.0009060351208994385,16.698,0.444
103.03838348,-0.3955,-11.688504521056428,0.0009060351208994385,16.698,0.444
103.03076172,-0.40036112,-10.49683949553776,0.0009144776206467405,16.958,0.529
103.03076172,-0.40036112,-10.49683949553776,0.0009144776206467405,16.958,0.529
