RA,DEC,Instrumental_R,InstrumentalR_err,Known_R,KnownR_err
103.02062225000002,-0.30508333,-16.66275103691425,0.00041455414779243305,9.528,0.001
103.01408386,-0.45511112,-16.55285251770887,0.0004283586207350914,9.412,0.001
103.00787354000002,-0.456,-16.350660962183625,0.00045341124549938376,10.427,0.001
102.89054108,-0.19208333,-16.496519570271527,0.0004387151046020137,10.226,
103.15512848,-0.32233334,-16.20859976745635,0.00047559387962614803,10.543,0.004
103.04795837000002,-0.32122222,-15.507527956839184,0.0005591603344696804,11.203,0.001
103.15296173,-0.24211112,-15.900787026966626,0.0005150498350398543,11.566,0.003
103.0769577,-0.33875,-15.565974149934625,0.0005532138788373388,11.664,0.004
103.11645508,-0.22863889,-15.69162078664619,0.0005406996176835067,11.92,0.004
102.87779236,-0.31630555,-15.569467230733059,0.000553930932160151,11.88,0.003
103.16696167,-0.28741667,-15.59531624540886,0.0005516172241930312,11.54,0.004
103.01887512,-0.32730556,-15.678931394973619,0.0005395332336741719,12.191,0.003
102.95658112,-0.35436112,-15.042022703924278,0.0006065121608970335,11.469,0.006
103.04141998,-0.39222223,-15.060008514066416,0.0006050809478286716,12.641,0.005
103.07862854,-0.39244443,-15.08901100559415,0.000601432372191766,12.596,0.005
102.86245728,-0.26002777,-14.733524005483975,0.0006357322776882595,12.388,0.003
103.0572052,-0.32227778,-14.751605217536623,0.0006299370611787989,12.385,0.004
103.04929352000002,-0.30702779,-14.476883313094648,0.0006481267719672124,12.81,0.005
103.05558014,-0.32788888,-14.415346371773413,0.0006542171469029554,12.316,0.003
103.06874847,-0.32805556,-14.175182194345272,0.0006702609996938015,13.383,0.004
103.15853882,-0.27594444,-14.186676288836654,0.0006719797884420055,13.534,0.005
102.96583557,-0.33777779,-14.237616004278511,0.0006673413940043763,13.394,0.014
102.86791992,-0.27372223,-13.937601604145677,0.0006853082328788807,13.718,0.004
103.14537811,-0.25716668,-13.875425546296373,0.0006879211754153769,13.532,0.009
102.87308502,-0.41411111,-14.211432273770354,0.0006669158392242057,13.941,0.008
103.15650177000002,-0.28436112,-13.80133564995894,0.0006891589934104494,13.714,0.005
102.88141632,-0.44044444,-13.675690662240648,0.0006917862788456428,13.868,0.007
103.08791351,-0.264,-13.442614654690825,0.0007033209252659867,13.511,0.005
102.91625214,-0.42830557,-13.200327631110639,0.0007059121117271336,14.438,0.031
102.96387482,-0.40591668,,0.0007385784768828428,14.777,0.032
103.00450134,-0.40102778,-9.85163505540395,0.0007357608195087529,14.756,0.029
103.04929352000002,-0.38980556,-8.154043073664782,0.0007371931426018204,13.537,0.007
103.08333588,-0.37566668,-11.794426792786517,0.0007298018804389918,13.533,0.01
102.94579315,-0.39627779,-8.346888381132828,0.0007393679604081798,14.669,0.049
103.08108139,-0.3925,-15.062746793292135,0.0006039786230324386,14.228,0.013
103.02979459,-0.40591668,-13.406313175833242,0.0007004067048196717,14.208,0.041
103.06874847,-0.42447222,-11.125477432814236,0.0007347176639006893,14.95,0.107
103.02716827,-0.42625,-10.188434140313209,0.0007347769464957852,14.611,0.015
103.02716827,-0.42625,-10.188434140313209,0.0007347769464957852,14.611,0.015
103.00450134,-0.44888888,-13.202297936452807,0.0007013531346211215,14.887,0.015
103.09837723,-0.36330554,-10.818862722997844,0.0007336114205594717,14.728,0.017
103.11837288,-0.35263889,-8.739963605278021,0.0007395965315310266,15.021,0.03
103.11837288,-0.35263889,-8.739963605278021,0.0007395965315310266,15.021,0.03
103.08108139,-0.37830555,-11.36541362068338,0.0007326664694903612,15.409,0.071
103.08108139,-0.37830555,-11.36541362068338,0.0007326664694903612,15.409,0.071
103.05958048,-0.38805556,-8.983294561751087,0.0007373321858064651,15.784,0.094
103.05958048,-0.38805556,-8.983294561751087,0.0007373321858064651,15.784,0.094
103.07275415,-0.38175,-9.44306294081347,0.0007370320875925438,16.028,0.183
103.07275415,-0.38175,-9.44306294081347,0.0007370320875925438,16.028,0.183
103.05841829,-0.38566668,-10.752580458948328,0.0007347411891579761,16.253,0.257
103.05841829,-0.38566668,-10.752580458948328,0.0007347411891579761,16.253,0.257
103.04691466,-0.39022223,-10.583632803757538,0.0007350844464336346,16.525,0.328
103.04691466,-0.39022223,-10.583632803757538,0.0007350844464336346,16.525,0.328
103.03838348,-0.3955,-13.394245457350547,0.0007019448800308133,16.772,0.41
103.03838348,-0.3955,-13.394245457350547,0.0007019448800308133,16.772,0.41
103.03076172,-0.40036112,-10.329213758938206,0.0007349277726356201,17.033,0.494
103.03076172,-0.40036112,-10.329213758938206,0.0007349277726356201,17.033,0.494
