RA,DEC,Instrumental_R,InstrumentalR_err,Known_R,KnownR_err
103.02062225000002,-0.30508333,-16.367591113652608,0.0004570653938314464,9.528,0.001
103.01408386,-0.45511112,-16.529186449758015,0.0004354173329946524,9.412,0.001
103.00787354000002,-0.456,-16.378037208120013,0.00045471516188097365,10.427,0.001
102.89054108,-0.19208333,-16.433256576240332,0.0004515284064326534,10.226,
103.15512848,-0.32233334,-16.11469489470151,0.0004927784194265098,10.543,0.004
103.04795837000002,-0.32122222,-15.29342422716483,0.0005914235331451477,11.203,0.001
103.15296173,-0.24211112,-15.84604430410344,0.0005286828390723611,11.566,0.003
103.0769577,-0.33875,-15.423549690181204,0.0005777725670940326,11.664,0.004
103.11645508,-0.22863889,-15.613038231392393,0.0005580896626883332,11.92,0.004
102.87779236,-0.31630555,-15.59327305054704,0.0005598998913929219,11.88,0.003
103.16696167,-0.28741667,-15.576384245583498,0.0005614365792920318,11.54,0.004
103.01887512,-0.32730556,-15.505057067025101,0.0005680354123488859,12.191,0.003
102.95658112,-0.35436112,-15.043031359736712,0.0006174659330555743,11.469,0.006
103.04141998,-0.39222223,-15.067529200157121,0.0006153009250138812,12.641,0.005
103.07862854,-0.39244443,-15.097409879401999,0.000611026965240442,12.596,0.005
102.86245728,-0.26002777,-14.746665974169414,0.0006470816379223662,12.388,0.003
103.0572052,-0.32227778,-14.682048327699652,0.0006491319210435269,12.385,0.004
103.04929352000002,-0.30702779,-14.44436640633186,0.0006636567792931672,12.81,0.005
103.05558014,-0.32788888,-14.439375433142674,0.0006670518737067728,12.316,0.003
103.06874847,-0.32805556,-14.155786554086976,0.0006863346804242428,13.383,0.004
103.15853882,-0.27594444,-14.173448440062199,0.0006860690120303114,13.534,0.005
102.96583557,-0.33777779,-14.253980801225016,0.0006803428384374716,13.394,0.014
102.86791992,-0.27372223,-13.964667915186018,0.0006999879696067171,13.718,0.004
103.14537811,-0.25716668,-13.896090188798006,0.000702461321731924,13.532,0.009
102.87308502,-0.41411111,-14.187712099782441,0.00068384563700975,13.941,0.008
103.15650177000002,-0.28436112,-13.825864816866538,0.0007027297485207969,13.714,0.005
102.88141632,-0.44044444,-13.699711594712971,0.0007082543178365973,13.868,0.007
103.08791351,-0.264,-13.460441500363205,0.0007196818410607958,13.511,0.005
102.91625214,-0.42830557,-13.243809344735203,0.0007236512683636914,14.438,0.031
102.96387482,-0.40591668,,0.0007588293878224351,14.777,0.032
103.00450134,-0.40102778,-11.195047100031331,0.0007519836787472065,14.756,0.029
103.04929352000002,-0.38980556,-8.598298996247873,0.0007569037878574024,13.537,0.007
103.08333588,-0.37566668,-11.816407035018852,0.0007489551455827047,13.533,0.01
102.94579315,-0.39627779,-8.526260903944072,0.0007588406638808957,14.669,0.049
103.08108139,-0.3925,-15.071916653465578,0.0006141281148578184,14.228,0.013
103.02979459,-0.40591668,-13.312681306852486,0.0007204236183198684,14.208,0.041
103.06874847,-0.42447222,-11.276739158490672,0.0007522110220744937,14.95,0.107
103.02716827,-0.42625,-10.713740050771836,0.0007537508735942337,14.611,0.015
103.02716827,-0.42625,-10.713740050771836,0.0007537508735942337,14.611,0.015
103.00450134,-0.44888888,-13.223384106686218,0.0007167671868444609,14.887,0.015
103.09837723,-0.36330554,-10.739731429379331,0.0007527847865777455,14.728,0.017
103.11837288,-0.35263889,-9.359389051664394,0.0007575350773326366,15.021,0.03
103.11837288,-0.35263889,-9.359389051664394,0.0007575350773326366,15.021,0.03
103.08108139,-0.37830555,-11.492281011353963,0.000751151336146067,15.409,0.071
103.08108139,-0.37830555,-11.492281011353963,0.000751151336146067,15.409,0.071
103.05958048,-0.38805556,-7.865018061869059,0.0007573573042539448,15.784,0.094
103.05958048,-0.38805556,-7.865018061869059,0.0007573573042539448,15.784,0.094
103.07275415,-0.38175,-5.112804239724447,0.0007582506714268093,16.028,0.183
103.07275415,-0.38175,-5.112804239724447,0.0007582506714268093,16.028,0.183
103.05841829,-0.38566668,-10.55535065314346,0.000755208225792536,16.253,0.257
103.05841829,-0.38566668,-10.55535065314346,0.000755208225792536,16.253,0.257
103.04691466,-0.39022223,-10.674265710849193,0.0007540897383080037,16.525,0.328
103.04691466,-0.39022223,-10.674265710849193,0.0007540897383080037,16.525,0.328
103.03838348,-0.3955,-13.654156785160792,0.0007092240849770873,16.772,0.41
103.03838348,-0.3955,-13.654156785160792,0.0007092240849770873,16.772,0.41
103.03076172,-0.40036112,-10.384611330444109,0.0007546945582667532,17.033,0.494
103.03076172,-0.40036112,-10.384611330444109,0.0007546945582667532,17.033,0.494
