RA,DEC,Instrumental_I,InstrumentalI_err,Known_I,KnownI_err
103.02062225000002,-0.30508333,-16.081744947310998,0.0005235529971171766,9.519,0.001
103.01408386,-0.45511112,-16.325379537690235,0.00048576003770686406,8.876,0.001
103.00787354000002,-0.456,-15.6704536076445,0.0005844086555107394,10.305,0.001
102.89054108,-0.19208333,-15.889921016988183,0.0005539231995368552,9.905,0.001
103.15512848,-0.32233334,-15.826794012467566,0.0005631779308322003,10.016,0.005
103.04795837000002,-0.32122222,-15.524383263926502,0.0006071069278078487,10.549,0.001
103.15296173,-0.24211112,-15.181838469987472,0.000655384292940177,11.267,0.005
103.0769577,-0.33875,-15.021854432054319,0.0006751580796424701,11.384,0.004
103.11645508,-0.22863889,-14.824156010914049,0.0007007402589323392,11.725,0.006
102.87779236,-0.31630555,-14.97772927610496,0.000684039241243607,11.577,0.003
103.16696167,-0.28741667,-15.346819465525169,0.000633049753791568,10.89,0.005
103.01887512,-0.32730556,-15.000240068897961,0.0006775051713593838,12.105,0.003
102.95658112,-0.35436112,-15.663784309077757,0.0005884633905824462,10.318,0.007
103.04141998,-0.39222223,-14.022225375419012,0.000776791697167373,12.533,0.006
103.07862854,-0.39244443,-14.186656984203038,0.000760083474723741,12.416,0.007
102.86245728,-0.26002777,-14.768999715564625,0.0007073865719747723,11.726,0.003
103.0572052,-0.32227778,-14.76800951555385,0.0007035139219397735,11.712,0.022
103.04929352000002,-0.30702779,-14.248835133293515,0.0007526591009532576,12.316,0.006
103.05558014,-0.32788888,-15.060594363285169,0.0006690154980607572,11.314,0.004
103.06874847,-0.32805556,-15.08215380802306,0.0006672990584576509,13.031,0.005
103.15853882,-0.27594444,-13.27466507550891,0.0008185563521619978,13.333,0.007
102.96583557,-0.33777779,-13.819950152296709,0.0007902785444592825,12.99,0.025
102.86791992,-0.27372223,-13.291787694907937,0.0008210994099943336,13.387,0.019
103.14537811,-0.25716668,-13.455142259624989,0.0008113005496177785,13.101,0.009
102.87308502,-0.41411111,-13.579756018907332,0.0008060652345241656,13.698,0.009
103.15650177000002,-0.28436112,-13.379280209255722,0.0008125606618909128,13.272,0.006
102.88141632,-0.44044444,-12.987248802554658,0.0008336082515802629,13.551,0.01
103.08791351,-0.264,-13.922899516201696,0.0007818195220416,12.629,0.007
102.91625214,-0.42830557,-12.279021632818651,0.000852575675951947,14.329,0.045
102.96387482,-0.40591668,,0.0008752756466860531,14.662,0.044
103.00450134,-0.40102778,-10.490776021480361,0.0008682593493801019,14.623,0.041
103.04929352000002,-0.38980556,-9.91723780785265,0.0008683114219017699,12.8,0.007
103.08333588,-0.37566668,-11.334774174338403,0.0008607080385654587,12.518,0.012
102.94579315,-0.39627779,-7.977259030429217,0.0008759338766203878,14.493,0.067
103.08108139,-0.3925,-14.175199595991113,0.0007632161059762071,14.121,0.018
103.02979459,-0.40591668,-13.654395008790377,0.000800046131684972,13.849,0.046
103.06874847,-0.42447222,-11.28062708444059,0.0008653000697269443,14.687,0.127
103.02716827,-0.42625,-11.019490050625606,0.0008693769607964491,14.529,0.02
103.02716827,-0.42625,-11.019490050625606,0.0008693769607964491,14.529,0.02
103.00450134,-0.44888888,-12.736865099648249,0.0008339589767306163,14.815,0.021
103.09837723,-0.36330554,-10.558767248948682,0.0008621777884472553,14.647,0.022
103.11837288,-0.35263889,-9.578318884048738,0.0008682720630728805,14.938,0.035
103.11837288,-0.35263889,-9.578318884048738,0.0008682720630728805,14.938,0.035
103.08108139,-0.37830555,-10.959340169413377,0.0008629496730245825,15.35,0.08
103.08108139,-0.37830555,-10.959340169413377,0.0008629496730245825,15.35,0.08
103.05958048,-0.38805556,-7.666291172530643,0.0008702913523817521,15.727,0.106
103.05958048,-0.38805556,-7.666291172530643,0.0008702913523817521,15.727,0.106
103.07275415,-0.38175,-8.332823367035699,0.0008697908230044461,15.968,0.205
103.07275415,-0.38175,-8.332823367035699,0.0008697908230044461,15.968,0.205
103.05841829,-0.38566668,-10.699240561634086,0.0008663865243041611,16.191,0.286
103.05841829,-0.38566668,-10.699240561634086,0.0008663865243041611,16.191,0.286
103.04691466,-0.39022223,-10.324347114289466,0.0008672114626054968,16.46,0.36
103.04691466,-0.39022223,-10.324347114289466,0.0008672114626054968,16.46,0.36
103.03838348,-0.3955,-11.882051280656372,0.000856921037873815,16.698,0.444
103.03838348,-0.3955,-11.882051280656372,0.000856921037873815,16.698,0.444
103.03076172,-0.40036112,-10.756326747075192,0.0008672926023837038,16.958,0.529
103.03076172,-0.40036112,-10.756326747075192,0.0008672926023837038,16.958,0.529
