RA,DEC,Instrumental_I,InstrumentalI_err,Known_I,KnownI_err
103.02062225000002,-0.30508333,-15.69704517751439,0.0005897682890467345,9.519,0.001
103.01408386,-0.45511112,-16.154229905966627,0.0005170311868777707,8.876,0.001
103.00787354000002,-0.456,-15.611964964492095,0.0005997245927775835,10.305,0.001
102.89054108,-0.19208333,-15.998390184543297,0.0005446689990144775,9.905,0.001
103.15512848,-0.32233334,-15.793831694872399,0.000576271175043253,10.016,0.005
103.04795837000002,-0.32122222,-15.218657411658281,0.0006607422900504712,10.549,0.001
103.15296173,-0.24211112,-15.295091574269641,0.0006524796981135048,11.267,0.005
103.0769577,-0.33875,-14.863077944049742,0.0007094357472326179,11.384,0.004
103.11645508,-0.22863889,-14.872518249565385,0.0007097961514743679,11.725,0.006
102.87779236,-0.31630555,-15.015979006674542,0.0006911635823351089,11.577,0.003
103.16696167,-0.28741667,-15.43185240936581,0.0006324015421928327,10.89,0.005
103.01887512,-0.32730556,-14.891699217795795,0.0007039976212526333,12.105,0.003
102.95658112,-0.35436112,-15.42669407234122,0.0006320402444972109,10.318,0.007
103.04141998,-0.39222223,-14.042241260911197,0.00079406665219798,12.533,0.006
103.07862854,-0.39244443,-14.2021670995313,0.0007771426467914666,12.416,0.007
102.86245728,-0.26002777,-14.800918162543667,0.000718502299771844,11.726,0.003
103.0572052,-0.32227778,-14.58607170414256,0.0007392305629364929,11.712,0.022
103.04929352000002,-0.30702779,-14.220730500931868,0.0007746053559161531,12.316,0.006
103.05558014,-0.32788888,-14.798085581404468,0.0007149311221074424,11.314,0.004
103.06874847,-0.32805556,-14.98451846037205,0.0006931182873833665,13.031,0.005
103.15853882,-0.27594444,-13.288622843767506,0.000843469689736325,13.333,0.007
102.96583557,-0.33777779,-13.840011022294785,0.0008086297473601135,12.99,0.025
102.86791992,-0.27372223,-13.295616203246725,0.0008441327608115112,13.387,0.019
103.14537811,-0.25716668,-13.440913246400626,0.0008365575763026636,13.101,0.009
102.87308502,-0.41411111,-13.599332238733187,0.0008228019195836644,13.698,0.009
103.15650177000002,-0.28436112,-13.385520235473212,0.0008368554249665616,13.272,0.006
102.88141632,-0.44044444,-12.96873339876863,0.000854054667249974,13.551,0.01
103.08791351,-0.264,-13.923018822528842,0.0008034419233618037,12.629,0.007
102.91625214,-0.42830557,-12.2402493830763,0.0008733650805368425,14.329,0.045
102.96387482,-0.40591668,,0.0008997621701239472,14.662,0.044
103.00450134,-0.40102778,-10.246423264128087,0.0008949091585842422,14.623,0.041
103.04929352000002,-0.38980556,-10.225119420940807,0.0008950101161212505,12.8,0.007
103.08333588,-0.37566668,-11.359266576025735,0.0008875887435734334,12.518,0.012
102.94579315,-0.39627779,,0.0009003292782042325,14.493,0.067
103.08108139,-0.3925,-14.196227870632903,0.0007801004183185628,14.121,0.018
103.02979459,-0.40591668,-13.713449588322932,0.0008174908357052825,13.849,0.046
103.06874847,-0.42447222,-11.236660696450333,0.0008905069177868071,14.687,0.127
103.02716827,-0.42625,-10.46047254213413,0.0008949791742904256,14.529,0.02
103.02716827,-0.42625,-10.46047254213413,0.0008949791742904256,14.529,0.02
103.00450134,-0.44888888,-12.712257459454847,0.0008569796481613338,14.815,0.021
103.09837723,-0.36330554,-10.721625646844009,0.0008913145285421075,14.647,0.022
103.11837288,-0.35263889,,0.0008991316754385271,14.938,0.035
103.11837288,-0.35263889,,0.0008991316754385271,14.938,0.035
103.08108139,-0.37830555,-11.153943342280506,0.0008893471740243171,15.35,0.08
103.08108139,-0.37830555,-11.153943342280506,0.0008893471740243171,15.35,0.08
103.05958048,-0.38805556,-9.869784020808549,0.0008944979515766237,15.727,0.106
103.05958048,-0.38805556,-9.869784020808549,0.0008944979515766237,15.727,0.106
103.07275415,-0.38175,-9.73924888156176,0.0008945591947374147,15.968,0.205
103.07275415,-0.38175,-9.73924888156176,0.0008945591947374147,15.968,0.205
103.05841829,-0.38566668,-10.83005181107173,0.0008917094787645117,16.191,0.286
103.05841829,-0.38566668,-10.83005181107173,0.0008917094787645117,16.191,0.286
103.04691466,-0.39022223,-9.839205797048628,0.0008949935061411206,16.46,0.36
103.04691466,-0.39022223,-9.839205797048628,0.0008949935061411206,16.46,0.36
103.03838348,-0.3955,-11.973761347794326,0.000880098307954708,16.698,0.444
103.03838348,-0.3955,-11.973761347794326,0.000880098307954708,16.698,0.444
103.03076172,-0.40036112,-10.182549367022213,0.0008945585562811164,16.958,0.529
103.03076172,-0.40036112,-10.182549367022213,0.0008945585562811164,16.958,0.529
