RA,DEC,Instrumental_R,InstrumentalR_err,Known_R,KnownR_err
27.64324188,67.69808197,-15.186478057487385,0.0006473823218247773,10.809,0.001
27.88089561,67.71084595,-15.0844550222965,0.0006590301094214421,11.777,0.003
27.64975739,67.73271942,-13.406608427603166,0.0007984814063541747,13.753,0.007
27.7927494,67.65895844,-13.441132094871284,0.0007950735247302419,14.509,0.008
27.62024498,67.73627472,-13.196142333619264,0.0008078651882949375,13.035,0.003
