RA,DEC,Instrumental_B,InstrumentalB_err,Known_B,KnownB_err
103.02062225000002,-0.30508333,-16.299061490504343,0.0005060025166438431,9.535,0.001
103.01408386,-0.45511112,-15.563882385166007,0.0006326043206095915,11.202,0.001
103.00787354000002,-0.456,-15.738188369991345,0.0006021747059797295,10.739,0.001
102.89054108,-0.19208333,-15.561265285157527,0.0006347586714185484,11.183,0.001
103.15512848,-0.32233334,-14.948630793602366,0.0007321396653182059,12.222,0.005
103.04795837000002,-0.32122222,-13.984255076175227,0.0008470704523958288,13.287,0.001
103.15296173,-0.24211112,-14.756878267970983,0.0007597428779827428,12.429,0.004
103.0769577,-0.33875,-14.703177422276665,0.0007663177310673365,12.417,0.004
103.11645508,-0.22863889,-14.714763926815134,0.0007657833972942377,12.427,0.004
102.87779236,-0.31630555,-14.497609325738692,0.000793491967998866,12.707,0.006
103.16696167,-0.28741667,-13.743061267821137,0.0008690775723085108,13.523,0.005
103.01887512,-0.32730556,-14.895384948065411,0.0007380100993087038,12.428,0.002
102.95658112,-0.35436112,-12.597005654094302,0.0009323280916032375,14.915,0.009
103.04141998,-0.39222223,-14.225256619088684,0.0008249061068328295,12.896,0.004
103.07862854,-0.39244443,-14.094041421130125,0.0008379198179753189,13.047,0.004
102.86245728,-0.26002777,-12.927703684879122,0.0009223130175582072,14.372,0.002
103.0572052,-0.32227778,-12.994755584406839,0.0009155746760190655,14.214,0.005
103.04929352000002,-0.30702779,-12.881455127379134,0.0009124362624324215,14.353,0.006
103.05558014,-0.32788888,-12.1967122440935,0.0009427858212860685,15.307,0.004
103.06874847,-0.32805556,-12.792583075518158,0.0009245598336844008,14.381,0.006
103.15853882,-0.27594444,-13.12114723450512,0.0009116679596428404,14.022,0.006
102.96583557,-0.33777779,-12.767265025112035,0.0009268173777112628,14.602,0.028
102.86791992,-0.27372223,-12.753253445485917,0.0009293225448614638,14.47,0.004
103.14537811,-0.25716668,-12.495088728316862,0.0009389514705069706,14.789,0.008
102.87308502,-0.41411111,-12.992898793588912,0.000918657402547083,14.475,0.007
103.15650177000002,-0.28436112,-12.528339894310934,0.0009361404184346467,14.685,0.007
102.88141632,-0.44044444,-12.508801844928382,0.0009370549088428074,14.578,0.01
103.08791351,-0.264,-11.42592063510309,0.0009594166167456239,16.034,0.015
102.91625214,-0.42830557,-12.197224511165324,0.000947118271596276,14.794,0.037
102.96387482,-0.40591668,,0.000975381369782796,15.151,0.048
103.00450134,-0.40102778,-9.971367464464041,0.0009717262138672459,15.167,0.043
103.04929352000002,-0.38980556,-7.824249414870621,0.0009722592092614644,15.375,0.055
103.08333588,-0.37566668,-10.310523709959838,0.0009681922452784977,16.22,0.106
102.94579315,-0.39627779,,0.0009758704463871691,15.14,0.072
103.08108139,-0.3925,-14.100580025367773,0.0008387129047398139,14.546,0.018
103.02979459,-0.40591668,-11.524321877694497,0.000958860013146378,15.197,0.094
103.06874847,-0.42447222,-8.188998913119445,0.0009732178124116862,15.752,0.128
103.02716827,-0.42625,-10.299712721452025,0.0009690697787392024,14.775,0.019
103.02716827,-0.42625,-10.299712721452025,0.0009690697787392024,14.775,0.019
103.00450134,-0.44888888,-11.907303012976945,0.0009472632442263049,15.032,0.018
103.09837723,-0.36330554,-9.252759845558437,0.0009703770181912762,15.024,0.022
103.11837288,-0.35263889,-8.998255926396576,0.0009723456710300836,15.305,0.037
103.11837288,-0.35263889,-8.998255926396576,0.0009723456710300836,15.305,0.037
103.08108139,-0.37830555,-10.0608701494372,0.0009692732944482304,15.679,0.08
103.08108139,-0.37830555,-10.0608701494372,0.0009692732944482304,15.679,0.08
103.05958048,-0.38805556,-7.852498010469056,0.0009738210219728652,16.019,0.102
103.05958048,-0.38805556,-7.852498010469056,0.0009738210219728652,16.019,0.102
103.07275415,-0.38175,-6.649465847136606,0.0009742381538112113,16.363,0.185
103.07275415,-0.38175,-6.649465847136606,0.0009742381538112113,16.363,0.185
103.05841829,-0.38566668,-8.81262496040654,0.0009731224434856915,16.595,0.25
103.05841829,-0.38566668,-8.81262496040654,0.0009731224434856915,16.595,0.25
103.04691466,-0.39022223,-9.855855159085614,0.0009692226706477185,16.87,0.306
103.04691466,-0.39022223,-9.855855159085614,0.0009692226706477185,16.87,0.306
103.03838348,-0.3955,-12.196570016557898,0.0009457026232136729,17.125,0.376
103.03838348,-0.3955,-12.196570016557898,0.0009457026232136729,17.125,0.376
103.03076172,-0.40036112,-9.026281381666827,0.0009713902427461593,17.387,0.442
103.03076172,-0.40036112,-9.026281381666827,0.0009713902427461593,17.387,0.442
