RA,DEC,Instrumental_B,InstrumentalB_err,Known_B,KnownB_err
103.02062225000002,-0.30508333,-16.146946492637724,0.0005578982812751502,9.535,0.001
103.01408386,-0.45511112,-15.837999484016333,0.0006220748412646867,11.202,0.001
103.00787354000002,-0.456,-16.01746615448987,0.0005846911477601222,10.739,0.001
102.89054108,-0.19208333,-15.952663549450882,0.0006001724154024104,11.183,0.001
103.15512848,-0.32233334,-15.065867346648886,0.0007825831345276069,12.222,0.005
103.04795837000002,-0.32122222,-14.019009744986128,0.0009632096190756143,13.287,0.001
103.15296173,-0.24211112,-14.824237314288633,0.0008302633975056173,12.429,0.004
103.0769577,-0.33875,-14.769989816334414,0.0008396794364787807,12.417,0.004
103.11645508,-0.22863889,-14.783837893491397,0.0008392469439847461,12.427,0.004
102.87779236,-0.31630555,-14.546115093098038,0.0008823795219782078,12.707,0.006
103.16696167,-0.28741667,-13.767741321302204,0.0009989223615420237,13.523,0.005
103.01887512,-0.32730556,-14.869380731095049,0.0008188748258293054,12.428,0.002
102.95658112,-0.35436112,-12.541181067012976,0.0011029216980613045,14.915,0.009
103.04141998,-0.39222223,-14.282838396467994,0.0009258820969632061,12.896,0.004
103.07862854,-0.39244443,-14.12753038449624,0.0009481569193271442,13.047,0.004
102.86245728,-0.26002777,-12.944097761938089,0.001084622929872043,14.372,0.002
103.0572052,-0.32227778,-13.082188514459013,0.0010668733180875087,14.214,0.005
103.04929352000002,-0.30702779,-12.935620516216668,0.0010670831576857554,14.353,0.006
103.05558014,-0.32788888,-11.992503414234278,0.0011269867735129713,15.307,0.004
103.06874847,-0.32805556,-12.86920772487256,0.0010851763659039612,14.381,0.006
103.15853882,-0.27594444,-13.15911117533509,0.0010623499748220221,14.022,0.006
102.96583557,-0.33777779,-12.790885453551908,0.0010900103210039983,14.602,0.028
102.86791992,-0.27372223,-12.800931689486108,0.001094374777958311,14.47,0.004
103.14537811,-0.25716668,-12.480212351705775,0.0011121751474521906,14.789,0.008
102.87308502,-0.41411111,-13.000849446880945,0.0010761781348049239,14.475,0.007
103.15650177000002,-0.28436112,-12.482664029720272,0.0011061847351118942,14.685,0.007
102.88141632,-0.44044444,-12.627350749320794,0.0011047446402428034,14.578,0.01
103.08791351,-0.264,-11.405172873786531,0.0011482068601438961,16.034,0.015
102.91625214,-0.42830557,-12.297067866323413,0.0011204560514777144,14.794,0.037
102.96387482,-0.40591668,,0.0011723418150558138,15.151,0.048
103.00450134,-0.40102778,-9.409246753676348,0.0011683485348152544,15.167,0.043
103.04929352000002,-0.38980556,-8.049857083764326,0.0011700717771857124,15.375,0.055
103.08333588,-0.37566668,-10.610061344814516,0.0011596672235381312,16.22,0.106
102.94579315,-0.39627779,-6.193880328486124,0.0011729186041538422,15.14,0.072
103.08108139,-0.3925,-14.109661171651029,0.0009513706800661492,14.546,0.018
103.02979459,-0.40591668,-12.11329519168851,0.0011283685153309299,15.197,0.094
103.06874847,-0.42447222,-9.912933330155836,0.0011663290786870105,15.752,0.128
103.02716827,-0.42625,-2.756067978855408,0.0011685876563734233,14.775,0.019
103.02716827,-0.42625,-2.756067978855408,0.0011685876563734233,14.775,0.019
103.00450134,-0.44888888,-12.698020054522381,0.0010858556560269432,15.032,0.018
103.09837723,-0.36330554,-10.01087247333269,0.0011643232353146368,15.024,0.022
103.11837288,-0.35263889,-8.236002377588548,0.001169294141686475,15.305,0.037
103.11837288,-0.35263889,-8.236002377588548,0.001169294141686475,15.305,0.037
103.08108139,-0.37830555,-10.305706497427458,0.0011623462169479994,15.679,0.08
103.08108139,-0.37830555,-10.305706497427458,0.0011623462169479994,15.679,0.08
103.05958048,-0.38805556,-9.449382077545987,0.0011681961015983177,16.019,0.102
103.05958048,-0.38805556,-9.449382077545987,0.0011681961015983177,16.019,0.102
103.07275415,-0.38175,,0.0011711791332342646,16.363,0.185
103.07275415,-0.38175,,0.0011711791332342646,16.363,0.185
103.05841829,-0.38566668,-8.81696846480102,0.0011665677244756046,16.595,0.25
103.05841829,-0.38566668,-8.81696846480102,0.0011665677244756046,16.595,0.25
103.04691466,-0.39022223,-9.837822965512128,0.0011673439994424268,16.87,0.306
103.04691466,-0.39022223,-9.837822965512128,0.0011673439994424268,16.87,0.306
103.03838348,-0.3955,-12.676894687496354,0.0010979487447103599,17.125,0.376
103.03838348,-0.3955,-12.676894687496354,0.0010979487447103599,17.125,0.376
103.03076172,-0.40036112,-12.027037723508986,0.00112795963011464,17.387,0.442
103.03076172,-0.40036112,-12.027037723508986,0.00112795963011464,17.387,0.442
