Observation	Extinction Coefficient	Error	Airmass (Average)	Airmass Error
1	-1.09221263	0.253123	1.29944017	0.00307959
2	-1.07477522	0.09399256	1.35355645	0.00238065
3	-1.07008567	0.09530502	1.49278830	0.01007627
4	-1.01488669	0.09181795	1.77530632	0.03905435
