Observation	Extinction Coefficient	Error	Airmass (Average)	Airmass Error
1	0.22757399	0.06726753	1.29773465	0.00137408
2	0.21725828	0.07336265	1.35629698	0.00522119
3	0.2570453	0.05781394	1.49385057	0.01113855
4	0.30254425	0.04996512	1.75530264	0.01905066
