Observation	Extinction Coefficient	Error	Airmass (Average)	Airmass Error
1	-0.9736046	0.47994903	1.30149450	0.00513386
2	-0.48716412	0.1827578	1.35881891	0.00764312
3	-0.65988975	0.25405626	1.50363933	0.02092731
4	-0.32316588	0.20295583	1.79665683	0.06040485
